GROUP, NAME, COST, DESC
LANCHES NA CHAPA, BAURU ESPECIAL, 15, "pão baguete brioche, presunto, mussarela, tomate e rúcula"
LANCHES NA CHAPA, QUEIJO NA CHAPA, 9, "pão baguete brioche e mussarela"
LANCHES NA CHAPA, PÃO COM OVO ESPECIAL, 12, "pão baguete brioche, ovo frito e mussarela"
LANCHES NA CHAPA, OMELEPÃO, 17, "pão de forma, omelete, mussarela, tomate, alface"
LANCHES NA CHAPA, BALAIO, 26, "pão baguete brioche, carne desfiada e muita mussarela"

PÃO DE QUEIJO, TRADICIONAL, 4,
PÃO DE QUEIJO RECHEADO, MUSSARELINHA, 7,
PÃO DE QUEIJO RECHEADO, CREAM CHEESE, 7,
PÃO DE QUEIJO RECHEADO, PRESUNTO E MUSSARELA, 9,
PÃO DE QUEIJO RECHEADO, ROMEU E JULIETA, 8,
PÃO DE QUEIJO RECHEADO, DOCE DE LEITE, 7,
PÃO DE QUEIJO RECHEADO, NUTELLA, 8,

TAPIOCA, MARGUERITA, 14, "mussarela, tomate seco e manjericão"
TAPIOCA, FRANGO CREMOSO, 16, "frango desfiado, creme de queijo, cenoura e azeitona preta"
TAPIOCA, PIZZA, 16, "presunto, mussarela, tomate e orégano"
TAPIOCA, OVO MEXIDO CREMOSO, 12, "ovos mexidos e cream cheese"
TAPIOCA, BANANA, 10, "banana, canela e mel"
TAPIOCA, SENSAÇÃO, 15, "Nutella e morangos"
TAPIOCA, ROMEU E JULIETA, 14, "mussarela e goiabada"

CREPES DE TAPIOCA, FRANGO ESPECIAL, 16, "frango desfiado, cenoura , azeitona preta e mussarela"
CREPES DE TAPIOCA, RÚCULA COM TAMATE SECO, 14, "mussarela, tomate seco, rúcula e azeite"
CREPES DE TAPIOCA, PIZZA, 16, "presunto, mussarela, tomate e rúcula"

OMELETE, OMELETE SAUDÁVEL, 17,  "ovos, frango, mussarela, tomate, rúcula, cenoura ralada e azeitona preta"
CAFÉ DA MANHA, CAFÉ DA  MANHÃ DA NUTRI, 25, "TOSTADINHO DE OVO + SALADA DE FRUTAS + CAFÉ"

SALGADO, EMPADÃO FRANGO CATUPIRY, 8,
SALGADO, EMPADÃO DE PRESUNTO E QUEIJO, 8,
SALGADO, EMPADÃO DE PALMITO, 8,
SALGADO, QUICHE DE ALHO PORÓ, 10,
SALGADO, QUICHE DE BRÓCOLIS E BACON, 10,
SALGADO, ESFIRRA DE CARNE, 8,
SALGADO, COXINHA PAULISTA DE CARNE, 5,
SALGADO, COXINHA PAULISTA DE FRANGO, 5,
SALGADO, TÁBUA DE COXINHA, 14, "3 coxinhas servidas na tábua com maionese defumada especial"

TOSTADINHO, TOSTADINHO MANTEIGA, 6, "pão baguete brioche tostado na chapa com manteiga"
TOSTADINHO, TOSTADINHO TOMATE, 8, "pão baguete brioche tostado na chapa coberto com tomatinho ralado, azeite e ervas finas"
TOSTADINHO, TOSTADINHO OVO MEXIDO, 10, "pão baguete brioche tostado na chapa com manteiga coberto com ovos mexidos"

SOBREMESA, PUDIM DE CAFÉ, 8, "servido com chantilly"
SOBREMESA, DOCES GOURMET, 5,
SOBREMESA, TORTINHAS ESPECIAIS, 12, "consulte sabor disponível no dia"
SOBREMESA, BOLO CENOURINHA, 17, "bolo de cenoura servido com 1 bola de sorvete e ganache de chocolate"
SOBREMESA, TORTA DE BANANA "FATIA", 6, 
SOBREMESA, PETIT GATEAU + CHOCOLATE, 19, "petit gateau servido com 1 bola de sorvete e ganache de chocolate"
SOBREMESA, BROWNIE DELÍCIA, 18, "brownie de chocolate com nozes servido com 1 bola de sorvete e ganache de chocolate"
SOBREMESA, PAVÊ DE NATA DELÍCIA, 12,
SOBREMESA, PÃO DE MEL, 9,
SOBREMESA, CASEIRINHO DO DIA, 6, "consulte sabor disponível no dia"
SOBREMESA, TORTA CHEESECAKE "FATIA", 16,
SOBREMESA, TORTA BANOFFE "FATIA", 15, 
SOBREMESA, BOLO PRESTIGIO "FATIA", 10,

SORVETES NA TAÇA, TAÇA TRADICIONAL, 10, "duas bolas de sorvete de creme, chantilly e caramelo"
SORVETES NA TAÇA TAÇA MINEIRINHA, 14, "duas bolas de sorvete de creme, doce de leite e chantilly"
SORVETES NA TAÇA, TAÇA BRIGADEIRO, 14, "duas bolas de sorvete de creme, brigadeiro e chantilly"
